candidate_id,candidate_name,qualification,branch,district_pin,interest_emoji,vacancy_id,vacancy_title,min_qualification,branch_wanted,district_pin_vac,stipend,accepted
1001,Krishna,Diploma,Mech,555966,people,2024,Office Asst,Diploma,CS,654551,9098,0
1002,Ira,ITI,Elec,884426,people,2050,Solar Tech,BA,any,101538,9919,0
1003,Rajat,ITI,Civil,970985,people,2030,Solar Tech,ITI,Arts,160996,10290,0
1004,Vivaan,BA,Comm,449191,computer,2003,Site Engg,12th,Arts,713169,9858,0
1005,Sneha,MBA,Civil,590290,people,2029,Solar Tech,ITI,Mech,785182,5450,1
1006,Kavya,Diploma,Mech,772562,books,2051,Site Engg,ITI,Comm,375759,10981,1
1007,Rajesh,ITI,Comm,586798,computer,2026,Marketing Exec,MBA,any,381364,6573,0
1008,Krishna,ITI,CS,680161,design,2027,Marketing Exec,MBA,Civil,916601,7399,1
1009,Mohit,12th,Elec,481146,design,2035,Data Analyst,ITI,any,362006,11201,1
1010,Seema,Diploma,Mech,871990,computer,2020,Office Asst,MBA,Elec,877833,10820,1
1011,Suresh,MBA,Arts,348856,computer,2020,Solar Tech,ITI,Mech,679735,9266,0
1012,Ananya,B.Tech,Mech,645179,people,2043,Solar Tech,B.Tech,Arts,765379,11650,0
1013,Krishna,ITI,Comm,530543,books,2017,Solar Tech,12th,any,624392,9571,0
1014,Jyoti,ITI,Mech,430408,design,2006,HR Intern,BA,Arts,892062,7051,1
1015,Aditi,Diploma,Mech,675844,computer,2023,Office Asst,Diploma,Comm,193785,9924,1
1016,Harsh,B.Tech,CS,733180,finance,2026,Site Engg,B.Tech,Comm,892733,9875,1
1017,Sneha,12th,Mech,287749,books,2036,HR Intern,Diploma,Arts,248671,6287,0
1018,Seema,BA,Civil,219730,computer,2011,Marketing Exec,BA,Civil,517365,6204,1
1019,Sanya,BA,Arts,120012,tools,2046,Solar Tech,Diploma,Civil,608660,8995,0
1020,Aman,Diploma,CS,246418,finance,2011,HR Intern,B.Tech,Elec,993564,11502,1
1021,Shruti,12th,Civil,372837,people,2045,Office Asst,MBA,Elec,584137,6172,0
1022,Arjun,MBA,Civil,690304,design,2041,Data Analyst,ITI,Mech,503465,6005,0
1023,Nisha,ITI,Comm,209627,computer,2028,Site Engg,12th,any,222098,5734,1
1024,Lata,BA,Elec,470157,computer,2050,Solar Tech,ITI,Comm,353325,5458,1
1025,Nisha,B.Tech,CS,901857,books,2015,HR Intern,BA,Arts,919957,8589,1
1026,Kiran,12th,Elec,200793,finance,2030,Solar Tech,ITI,Comm,625360,7806,0
1027,Neha,BA,Civil,810308,books,2013,Solar Tech,BA,Comm,981308,11597,0
1028,Kavya,Diploma,CS,549250,design,2002,Solar Tech,12th,Arts,656665,10578,1
1029,Ritika,MBA,Arts,261701,people,2048,Data Analyst,12th,any,475702,11279,1
1030,Rekha,MBA,Civil,735022,tools,2037,Site Engg,BA,CS,383906,5581,1
1031,Aditya,MBA,Elec,514081,computer,2041,Site Engg,MBA,Civil,935316,8423,0
1032,Aman,Diploma,Mech,358093,tools,2026,Data Analyst,B.Tech,Civil,436874,11131,0
1033,Meera,12th,Arts,957166,books,2029,Data Analyst,12th,Arts,770027,8242,1
1034,Sneha,MBA,Civil,371561,design,2051,Data Analyst,Diploma,Mech,640256,11590,0
1035,Priya,B.Tech,Elec,105693,finance,2043,Solar Tech,ITI,Elec,494665,11710,1
1036,Rahul,B.Tech,Comm,375090,tools,2034,Data Analyst,12th,Civil,227903,8863,1
1037,Nitin,12th,Civil,941119,books,2020,Office Asst,ITI,Elec,743064,8626,0
1038,Aditya,ITI,Elec,860658,finance,2007,Site Engg,BA,Arts,636704,9282,0
1039,Lata,ITI,Civil,349149,people,2013,Office Asst,12th,Civil,461166,8585,1
1040,Harsh,B.Tech,Civil,879628,computer,2030,Marketing Exec,Diploma,Arts,329285,8467,0
1041,Ashok,Diploma,Civil,482255,computer,2050,Solar Tech,Diploma,Arts,571712,10713,1
1042,Pooja,12th,Civil,696410,finance,2008,HR Intern,BA,CS,782177,6772,0
1043,Karan,12th,Comm,452489,finance,2033,HR Intern,Diploma,Civil,892606,10875,1
1044,Seema,ITI,Civil,693295,finance,2026,Solar Tech,B.Tech,Civil,363421,8990,0
1045,Aarav,ITI,Elec,565441,design,2038,Solar Tech,12th,any,368839,9606,1
1046,Sneha,MBA,Mech,325928,design,2010,Marketing Exec,MBA,Comm,461929,7089,0
1047,Vikas,12th,Arts,888743,books,2005,Data Analyst,BA,Mech,876858,7732,1
1048,Aman,MBA,Civil,413961,computer,2009,Office Asst,ITI,Arts,951904,8053,1
1049,Priya,MBA,Arts,840596,tools,2039,Office Asst,BA,any,591565,6356,1
1050,Arjun,Diploma,Mech,259077,finance,2006,Data Analyst,ITI,Mech,285238,7559,0
1051,Nisha,Diploma,Comm,237126,tools,2037,Data Analyst,ITI,Comm,813187,9524,0
1052,Gaurav,ITI,Arts,704721,books,2029,Site Engg,MBA,Civil,408756,5494,1
1053,Aarav,12th,CS,711808,design,2002,Office Asst,12th,Arts,877146,8513,1
1054,Kiran,B.Tech,Arts,420834,people,2002,HR Intern,MBA,Elec,752468,7245,0
1055,Rajesh,ITI,Mech,874158,people,2001,Data Analyst,BA,Elec,117209,10847,1
1056,Ashok,MBA,Mech,122306,finance,2023,Site Engg,Diploma,Civil,205423,5847,1
1057,Ishaan,ITI,Comm,992170,finance,2048,Solar Tech,B.Tech,Comm,586442,8248,1
1058,Alok,ITI,Civil,330978,people,2041,Data Analyst,12th,Arts,192517,11470,0
1059,Rajat,12th,CS,608745,people,2036,Marketing Exec,ITI,any,363654,10318,0
1060,Nitin,12th,Elec,821557,computer,2042,Office Asst,12th,Elec,251875,10944,1
1061,Ashok,MBA,CS,596745,finance,2045,Data Analyst,Diploma,Comm,751998,11689,0
1062,Sneha,B.Tech,CS,727831,books,2024,Data Analyst,ITI,any,533566,10522,1
1063,Ananya,B.Tech,Arts,197484,finance,2021,Solar Tech,ITI,Elec,243002,11695,0
1064,Krishna,MBA,Civil,286847,books,2042,Office Asst,Diploma,Civil,628254,10321,1
1065,Rajesh,BA,Comm,429297,books,2051,HR Intern,B.Tech,Mech,993586,8474,1
1066,Manish,BA,Comm,939570,tools,2020,Solar Tech,B.Tech,Civil,405969,9459,1
1067,Gaurav,12th,CS,625298,books,2031,Solar Tech,12th,any,810565,7958,0
1068,Lata,B.Tech,Mech,187045,people,2050,Site Engg,BA,any,495309,8483,1
1069,Ira,MBA,Civil,380403,computer,2049,Marketing Exec,Diploma,Comm,375243,8832,1
1070,Anjali,ITI,Civil,698036,books,2018,Solar Tech,12th,Mech,913369,11429,0
1071,Sunita,MBA,Comm,409092,computer,2041,HR Intern,Diploma,Arts,190653,11692,1
1072,Neha,12th,Mech,395787,finance,2006,Solar Tech,BA,Civil,437884,7954,0
1073,Diya,12th,Civil,246942,finance,2048,HR Intern,B.Tech,Elec,961891,6847,0
1074,Vivaan,MBA,Civil,162499,finance,2013,HR Intern,MBA,CS,491683,9656,1
1075,Shruti,ITI,CS,887249,tools,2022,Solar Tech,MBA,Arts,857895,6527,0
1076,Neha,MBA,CS,258594,design,2034,Marketing Exec,Diploma,CS,769739,10767,1
1077,Shruti,Diploma,Mech,200833,people,2046,Marketing Exec,Diploma,Elec,965953,5732,0
1078,Vikas,Diploma,Mech,294240,tools,2040,HR Intern,B.Tech,Mech,817212,11107,0
1079,Ashok,ITI,Mech,663151,design,2036,Office Asst,12th,Comm,932527,9958,1
1080,Pooja,ITI,Elec,925601,design,2018,Site Engg,MBA,Civil,821665,8795,0
1081,Lata,B.Tech,Civil,746362,tools,2039,Site Engg,ITI,Arts,427574,7012,1
1082,Kavya,B.Tech,Elec,184331,computer,2045,HR Intern,12th,Mech,377945,6734,0
1083,Ananya,Diploma,CS,847730,tools,2033,Marketing Exec,12th,Civil,953921,11011,0
1084,Seema,12th,Arts,519338,design,2001,Site Engg,Diploma,any,697836,8789,0
1085,Anjali,BA,Elec,222736,books,2022,Data Analyst,BA,Mech,248094,5546,1
1086,Aditya,12th,CS,916548,computer,2015,Solar Tech,ITI,Mech,849902,11015,1
1087,Nisha,BA,Elec,902788,books,2012,Data Analyst,BA,any,705084,8422,0
1088,Krishna,B.Tech,Elec,472473,tools,2001,Office Asst,12th,Mech,456941,10186,0
1089,Suresh,BA,Civil,404808,tools,2037,Solar Tech,MBA,CS,997169,11538,0
1090,Kavya,12th,Comm,681606,tools,2016,HR Intern,B.Tech,Mech,682787,7770,0
1091,Ira,B.Tech,Elec,830881,design,2027,Office Asst,ITI,CS,409939,6282,0
1092,Karan,Diploma,CS,319431,books,2008,Site Engg,12th,Comm,102285,6541,1
1093,Diya,MBA,CS,634083,books,2004,Data Analyst,ITI,Elec,455021,11597,1
1094,Vikas,ITI,CS,975757,tools,2044,Site Engg,B.Tech,any,855706,9965,1
1095,Aditi,B.Tech,Comm,724939,finance,2009,HR Intern,12th,Civil,961376,8466,1
1096,Aman,B.Tech,Civil,414684,computer,2051,Office Asst,B.Tech,Civil,128422,5652,1
1097,Ashok,B.Tech,Mech,588739,books,2019,Office Asst,MBA,CS,689838,5127,0
1098,Shruti,BA,Arts,199048,books,2012,HR Intern,ITI,any,667236,8411,0
1099,Pankaj,BA,Comm,493643,people,2041,Marketing Exec,Diploma,Mech,761812,9306,1
1100,Krishna,Diploma,Comm,976511,design,2022,Solar Tech,B.Tech,Arts,567915,6827,1
